combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,valid_cells_raw,valid_cells_filtered,total_area_m2,total_area_hectares,total_area_km2,total_capacity_gw
148,bio1_whs0_land2_list1500_bld1000,True,False,2,1500,1000,68134,66991,2883475730.3,288347.6,2883.5,30.5
149,bio1_whs0_land2_list1500_bld1250,True,False,2,1500,1250,40936,40246,1749460661.5,174946.1,1749.5,18.3
150,bio1_whs0_land3_list500_bld250,True,False,3,500,250,623257,599567,26026761178.8,2602676.1,26026.8,272.9
151,bio1_whs0_land3_list500_bld500,True,False,3,500,500,213045,206974,8798563884.4,879856.4,8798.6,94.2
152,bio1_whs0_land3_list500_bld750,True,False,3,500,750,105076,103367,4423432684.6,442343.3,4423.4,47.1
153,bio1_whs0_land3_list500_bld1000,True,False,3,500,1000,62275,61282,2649752993.9,264975.3,2649.8,27.9
154,bio1_whs0_land3_list500_bld1250,True,False,3,500,1250,37663,37063,1617439637.9,161744.0,1617.4,16.9
155,bio1_whs0_land3_list1000_bld250,True,False,3,1000,250,559880,539569,23306081028.0,2330608.1,23306.1,245.6
156,bio1_whs0_land3_list1000_bld500,True,False,3,1000,500,209027,203324,8635039913.0,863504.0,8635.0,92.6
157,bio1_whs0_land3_list1000_bld750,True,False,3,1000,750,104939,103245,4418106319.2,441810.6,4418.1,47.0
158,bio1_whs0_land3_list1000_bld1000,True,False,3,1000,1000,62273,61281,2649707469.4,264970.7,2649.7,27.9
159,bio1_whs0_land3_list1000_bld1250,True,False,3,1000,1250,37663,37063,1617439637.9,161744.0,1617.4,16.9
160,bio1_whs0_land3_list1500_bld250,True,False,3,1500,250,474936,459579,19680783718.1,1968078.4,19680.8,209.2
161,bio1_whs0_land3_list1500_bld500,True,False,3,1500,500,200091,195147,8267930418.2,826793.0,8267.9,88.8
162,bio1_whs0_land3_list1500_bld750,True,False,3,1500,750,103950,102286,4375358822.2,437535.9,4375.4,46.6
163,bio1_whs0_land3_list1500_bld1000,True,False,3,1500,1000,62006,61026,2638144248.8,263814.4,2638.1,27.8
164,bio1_whs0_land3_list1500_bld1250,True,False,3,1500,1250,37612,37015,1615299986.8,161530.0,1615.3,16.9
165,bio1_whs0_land4_list500_bld250,True,False,4,500,250,598314,577003,25000366006.5,2500036.6,25000.4,262.7
166,bio1_whs0_land4_list500_bld500,True,False,4,500,500,211507,205645,8738107360.5,873810.7,8738.1,93.6
167,bio1_whs0_land4_list500_bld750,True,False,4,500,750,105036,103334,4421930376.4,442193.0,4421.9,47.0
168,bio1_whs0_land4_list500_bld1000,True,False,4,500,1000,62274,61282,2649752993.9,264975.3,2649.8,27.9
169,bio1_whs0_land4_list500_bld1250,True,False,4,500,1250,37663,37063,1617439637.9,161744.0,1617.4,16.9
170,bio1_whs0_land4_list1000_bld250,True,False,4,1000,250,540823,522391,22524516567.9,2252451.7,22524.5,237.8
171,bio1_whs0_land4_list1000_bld500,True,False,4,1000,500,207715,202179,8582959895.4,858296.0,8583.0,92.0
172,bio1_whs0_land4_list1000_bld750,True,False,4,1000,750,104901,103212,4416604011.0,441660.4,4416.6,47.0
173,bio1_whs0_land4_list1000_bld1000,True,False,4,1000,1000,62272,61281,2649707469.4,264970.7,2649.7,27.9
174,bio1_whs0_land4_list1000_bld1250,True,False,4,1000,1250,37663,37063,1617439637.9,161744.0,1617.4,16.9
175,bio1_whs0_land4_list1500_bld250,True,False,4,1500,250,463126,448935,19196448659.3,1919644.9,19196.4,204.4
176,bio1_whs0_land4_list1500_bld500,True,False,4,1500,500,199162,194329,8230691384.7,823069.1,8230.7,88.5
177,bio1_whs0_land4_list1500_bld750,True,False,4,1500,750,103914,102254,4373902038.5,437390.2,4373.9,46.6
178,bio1_whs0_land4_list1500_bld1000,True,False,4,1500,1000,62005,61026,2638144248.8,263814.4,2638.1,27.8
179,bio1_whs0_land4_list1500_bld1250,True,False,4,1500,1250,37612,37015,1615299986.8,161530.0,1615.3,16.9
180,bio1_whs1_land1_list500_bld250,True,True,1,500,250,775465,746612,32337912403.8,3233791.2,32337.9,339.9
181,bio1_whs1_land1_list500_bld500,True,True,1,500,500,277650,269886,11501079763.3,1150108.0,11501.1,122.9
182,bio1_whs1_land1_list500_bld750,True,True,1,500,750,135448,133180,5714689345.1,571468.9,5714.7,60.6
183,bio1_whs1_land1_list500_bld1000,True,True,1,500,1000,78246,76949,3333758470.0,333375.8,3333.8,35.0
184,bio1_whs1_land1_list500_bld1250,True,True,1,500,1250,46163,45369,1981225844.8,198122.6,1981.2,20.7
185,bio1_whs1_land1_list1000_bld250,True,True,1,1000,250,696767,672226,28966596228.8,2896659.6,28966.6,306.0
186,bio1_whs1_land1_list1000_bld500,True,True,1,1000,500,271873,264599,11265080802.4,1126508.1,11265.1,120.5
187,bio1_whs1_land1_list1000_bld750,True,True,1,1000,750,135232,132981,5706813608.1,570681.4,5706.8,60.5
188,bio1_whs1_land1_list1000_bld1000,True,True,1,1000,1000,78244,76948,3333712945.5,333371.3,3333.7,35.0
189,bio1_whs1_land1_list1000_bld1250,True,True,1,1000,1250,46163,45369,1981225844.8,198122.6,1981.2,20.7
190,bio1_whs1_land1_list1500_bld250,True,True,1,1500,250,591642,573142,24481341285.5,2448134.1,24481.3,260.9
191,bio1_whs1_land1_list1500_bld500,True,True,1,1500,500,258777,252521,10725114815.6,1072511.5,10725.1,115.0
192,bio1_whs1_land1_list1500_bld750,True,True,1,1500,750,133535,131340,5635522255.3,563552.2,5635.5,59.8
193,bio1_whs1_land1_list1500_bld1000,True,True,1,1500,1000,77834,76544,3317187555.3,331718.8,3317.2,34.8
194,bio1_whs1_land1_list1500_bld1250,True,True,1,1500,1250,46088,45302,1978858571.3,197885.9,1978.9,20.6
195,bio1_whs1_land2_list500_bld250,True,True,2,500,250,705030,677955,29221351280.0,2922135.1,29221.4,308.6
196,bio1_whs1_land2_list500_bld500,True,True,2,500,500,240413,233282,9838798501.9,983879.9,9838.8,106.2
197,bio1_whs1_land2_list500_bld750,True,True,2,500,750,115087,113042,4799601553.1,479960.2,4799.6,51.5
198,bio1_whs1_land2_list500_bld1000,True,True,2,500,1000,66384,65237,2801759269.1,280175.9,2801.8,29.7
199,bio1_whs1_land2_list500_bld1250,True,True,2,500,1250,39260,38567,1672342173.9,167234.2,1672.3,17.6
200,bio1_whs1_land2_list1000_bld250,True,True,2,1000,250,630799,607778,26041511113.8,2604151.1,26041.5,276.7
201,bio1_whs1_land2_list1000_bld500,True,True,2,1000,500,235320,228649,9632572558.0,963257.3,9632.6,104.1
202,bio1_whs1_land2_list1000_bld750,True,True,2,1000,750,114906,112878,4793319173.3,479331.9,4793.3,51.4
203,bio1_whs1_land2_list1000_bld1000,True,True,2,1000,1000,66382,65236,2801713744.6,280171.4,2801.7,29.7
204,bio1_whs1_land2_list1000_bld1250,True,True,2,1000,1250,39260,38567,1672342173.9,167234.2,1672.3,17.6
205,bio1_whs1_land2_list1500_bld250,True,True,2,1500,250,532152,514819,21834775006.0,2183477.5,21834.8,234.4
206,bio1_whs1_land2_list1500_bld500,True,True,2,1500,500,223878,218142,9164125546.5,916412.6,9164.1,99.3
207,bio1_whs1_land2_list1500_bld750,True,True,2,1500,750,113593,111610,4739008455.7,473900.8,4739.0,50.8
208,bio1_whs1_land2_list1500_bld1000,True,True,2,1500,1000,66048,64909,2788693740.2,278869.4,2788.7,29.5
209,bio1_whs1_land2_list1500_bld1250,True,True,2,1500,1250,39191,38504,1670156998.3,167015.7,1670.2,17.5
210,bio1_whs1_land3_list500_bld250,True,True,3,500,250,618716,595083,25822629361.5,2582262.9,25822.6,270.9
211,bio1_whs1_land3_list500_bld500,True,True,3,500,500,209987,203938,8660351530.0,866035.2,8660.4,92.8
212,bio1_whs1_land3_list500_bld750,True,True,3,500,750,102634,100927,4312352926.8,431235.3,4312.4,45.9
213,bio1_whs1_land3_list500_bld1000,True,True,3,500,1000,60211,59221,2555927018.2,255592.7,2555.9,27.0
214,bio1_whs1_land3_list500_bld1250,True,True,3,500,1250,35925,35328,1538454646.1,153845.5,1538.5,16.1
215,bio1_whs1_land3_list1000_bld250,True,True,3,1000,250,555608,535352,23114104249.8,2311410.4,23114.1,243.7
216,bio1_whs1_land3_list1000_bld500,True,True,3,1000,500,206007,200323,8498420915.8,849842.1,8498.4,91.2
217,bio1_whs1_land3_list1000_bld750,True,True,3,1000,750,102497,100805,4307026561.3,430702.7,4307.0,45.9
218,bio1_whs1_land3_list1000_bld1000,True,True,3,1000,1000,60209,59220,2555881493.7,255588.1,2555.9,27.0
219,bio1_whs1_land3_list1000_bld1250,True,True,3,1000,1250,35925,35328,1538454646.1,153845.5,1538.5,16.1
220,bio1_whs1_land3_list1500_bld250,True,True,3,1500,250,471053,455734,19505742050.6,1950574.2,19505.7,207.5
221,bio1_whs1_land3_list1500_bld500,True,True,3,1500,500,197124,192199,8133724219.0,813372.4,8133.7,87.5
222,bio1_whs1_land3_list1500_bld750,True,True,3,1500,750,101510,99849,4264415637.8,426441.6,4264.4,45.5
223,bio1_whs1_land3_list1500_bld1000,True,True,3,1500,1000,59942,58965,2544318273.0,254431.8,2544.3,26.8
224,bio1_whs1_land3_list1500_bld1250,True,True,3,1500,1250,35874,35280,1536314995.0,153631.5,1536.3,16.1
225,bio1_whs1_land4_list500_bld250,True,True,4,500,250,593944,572685,24803791254.7,2480379.1,24803.8,260.7
226,bio1_whs1_land4_list500_bld500,True,True,4,500,500,208463,202619,8600350250.9,860035.0,8600.4,92.2
227,bio1_whs1_land4_list500_bld750,True,True,4,500,750,102594,100894,4310850618.6,431085.1,4310.9,45.9
228,bio1_whs1_land4_list500_bld1000,True,True,4,500,1000,60210,59221,2555927018.2,255592.7,2555.9,27.0
229,bio1_whs1_land4_list500_bld1250,True,True,4,500,1250,35925,35328,1538454646.1,153845.5,1538.5,16.1
