combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,zone_1_ha,zone_2_ha,zone_3_ha,zone_4_ha,zone_5_ha,zone_6_ha,zone_7_ha,zone_8_ha,zone_9_ha,zone_10_ha,zone_11_ha,zone_12_ha,zone_13_ha,zone_14_ha,zone_15_ha,zone_16_ha,zone_17_ha,zone_18_ha,zone_19_ha,zone_20_ha,zone_21_ha,zone_22_ha,zone_23_ha,zone_24_ha,zone_25_ha,zone_26_ha,zone_27_ha
52,bio0_whs0_land4_list1000_bld750,False,False,4,1000,750,238819.1,525.3,62215.4,22919.7,61880.3,21769.5,18551.4,11220.4,3677.1,50632.3,53496.6,27349.9,389.3,76.3,1878.9,3455.9,3488.0,24981.1,0.0,4.4,310.8,6483.9,0.0,1223.1,81.8,757.5,12.2
53,bio0_whs0_land4_list1000_bld1000,False,False,4,1000,1000,156923.2,205.7,36872.7,13498.6,40040.0,13407.9,10657.5,7104.3,2044.8,30259.5,33114.9,17503.0,75.2,0.0,648.1,1487.4,1706.4,12924.6,0.0,4.4,58.6,4361.6,0.0,452.3,5.5,232.2,4.4
54,bio0_whs0_land4_list1000_bld1250,False,False,4,1000,1250,84226.1,26.5,17015.3,5688.7,20599.5,6675.2,4569.6,2885.3,817.3,13977.4,16068.7,9446.6,0.0,0.0,101.7,580.6,641.4,4807.3,0.0,4.4,0.0,2458.4,0.0,98.4,0.0,38.7,0.0
55,bio0_whs0_land4_list1500_bld250,False,False,4,1500,250,571390.4,11363.1,156135.8,57193.6,148859.0,51365.5,48459.2,23754.6,20130.6,148539.4,154204.9,84639.7,19338.8,8107.3,47356.6,42719.6,40514.5,142136.2,1426.6,3224.8,9347.0,13577.1,4.4,13103.7,3664.9,14530.4,4264.3
56,bio0_whs0_land4_list1500_bld500,False,False,4,1500,500,400749.7,2403.1,111155.7,41315.1,102915.7,37001.0,33760.8,17756.2,8227.9,94813.9,98320.7,49891.3,4400.4,1567.1,10529.2,13192.2,14061.5,60197.2,119.4,287.5,2134.4,9249.7,0.0,4554.1,827.2,4446.8,237.8
57,bio0_whs0_land4_list1500_bld750,False,False,4,1500,750,238432.0,516.5,61817.3,22767.1,61474.5,21670.0,18365.6,10991.5,3641.7,49967.6,52754.5,26948.4,343.9,76.3,1850.2,3305.5,3405.1,24324.2,0.0,4.4,293.1,6045.9,0.0,1177.8,61.9,656.9,12.2
58,bio0_whs0_land4_list1500_bld1000,False,False,4,1500,1000,156836.9,203.5,36745.6,13436.6,39854.2,13381.3,10605.5,7015.8,2043.7,30081.4,32829.6,17370.3,48.7,0.0,648.1,1431.0,1671.0,12787.5,0.0,4.4,58.6,4212.4,0.0,443.5,5.5,196.8,4.4
59,bio0_whs0_land4_list1500_bld1250,False,False,4,1500,1250,84218.3,26.5,17013.1,5685.4,20574.1,6675.2,4569.6,2882.0,817.3,13963.0,16045.4,9432.2,0.0,0.0,101.7,574.0,637.0,4797.4,0.0,4.4,0.0,2447.3,0.0,98.4,0.0,34.3,0.0
60,bio0_whs1_land1_list500_bld250,False,True,1,500,250,582010.3,12175.9,198439.5,66475.3,318060.9,76084.5,64891.7,49464.5,24549.8,166912.7,171953.4,133030.3,124466.2,58694.3,174318.9,137140.9,52286.7,286703.2,6205.2,9566.0,41859.2,46003.0,11.1,30209.7,33624.7,75268.3,47347.8
61,bio0_whs1_land1_list500_bld500,False,True,1,500,500,387570.8,2551.3,139864.7,47528.0,235536.8,54650.0,44113.0,36960.1,9054.0,103637.8,105103.1,78226.6,60674.9,29275.2,61567.4,52912.6,16250.0,90456.7,2565.7,1840.2,20570.7,18272.7,0.0,6298.1,8180.3,23258.1,24150.5
62,bio0_whs1_land1_list500_bld750,False,True,1,500,750,212922.3,525.3,75787.0,25832.6,150113.1,31975.8,23048.0,23443.9,3678.2,53516.5,54943.1,41293.0,23284.6,11710.3,16084.1,16497.7,3666.0,31751.3,1405.6,328.5,9176.7,7562.1,0.0,1234.2,861.5,4812.9,14086.9
63,bio0_whs1_land1_list500_bld1000,False,True,1,500,1000,130390.5,205.7,44023.5,15081.1,101108.6,19372.0,12986.5,15287.9,2044.8,31703.8,33933.3,25316.1,11076.6,5305.0,5549.4,6779.1,1759.5,15978.0,988.7,146.0,4796.3,4549.7,0.0,452.3,159.2,1861.2,9066.1
64,bio0_whs1_land1_list500_bld1250,False,True,1,500,1250,61569.6,26.5,19602.0,6167.6,54424.4,8901.3,5511.8,6869.8,817.3,14528.1,16436.9,12175.9,3713.6,1583.6,817.3,1770.5,645.8,5727.4,572.9,25.4,1881.1,2468.4,0.0,98.4,31.0,331.8,4296.4
65,bio0_whs1_land1_list1000_bld250,False,True,1,1000,250,578962.5,11895.0,197688.6,66312.8,315215.4,75716.2,64510.2,49031.0,22947.3,163170.4,167037.7,127941.0,119219.9,54655.5,161301.4,122695.7,48120.8,237986.3,5632.3,8841.6,38740.6,36438.1,11.1,22821.2,24722.3,60031.3,41829.4
66,bio0_whs1_land1_list1000_bld500,False,True,1,1000,500,387027.8,2514.8,139622.5,47458.4,234820.2,54533.9,43895.2,36799.8,8768.6,102660.2,103876.7,77181.5,59824.5,28526.6,59894.2,50634.5,15849.7,85998.8,2560.1,1803.7,20072.0,16576.3,0.0,5655.5,7088.8,20992.1,23522.4
67,bio0_whs1_land1_list1000_bld750,False,True,1,1000,750,212878.1,525.3,75779.2,25821.5,149952.7,31965.9,23023.6,23416.2,3677.1,53459.0,54801.5,41202.3,23263.6,11672.7,16064.2,16401.5,3664.9,31646.3,1405.6,328.5,9122.5,7470.3,0.0,1227.5,835.0,4671.3,14059.2
