combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,zone_1_ha,zone_2_ha,zone_3_ha,zone_4_ha,zone_5_ha,zone_6_ha,zone_7_ha,zone_8_ha,zone_9_ha,zone_10_ha,zone_11_ha,zone_12_ha,zone_13_ha,zone_14_ha,zone_15_ha,zone_16_ha,zone_17_ha,zone_18_ha,zone_19_ha,zone_20_ha,zone_21_ha,zone_22_ha,zone_23_ha,zone_24_ha,zone_25_ha,zone_26_ha,zone_27_ha
41,bio0_whs0_land3_list1500_bld500,False,False,3,1500,500,448420.8,3318.7,125178.7,46102.7,117544.2,41746.0,40325.6,19944.3,10903.1,114717.2,118295.4,60078.7,8189.9,2462.9,20272.1,19684.8,19589.2,79599.6,364.2,564.5,3173.1,10857.6,0.0,6459.9,1971.2,7279.4,560.0
42,bio0_whs0_land3_list1500_bld750,False,False,3,1500,750,281396.0,646.4,76044.1,27510.4,73458.3,26627.3,23577.1,13397.9,4834.7,63952.8,64744.9,32472.6,751.2,177.5,3810.4,5212.6,4761.9,32531.8,0.0,22.8,500.8,7192.9,0.0,1575.1,254.9,1170.0,18.2
43,bio0_whs0_land3_list1500_bld1000,False,False,3,1500,1000,184251.3,241.3,45884.1,16092.9,47500.3,16616.4,13857.7,8818.1,2918.1,38987.2,39606.3,20690.9,109.3,0.0,1165.4,2044.0,2057.7,16807.6,0.0,9.1,86.5,5003.1,0.0,473.5,13.7,273.1,9.1
44,bio0_whs0_land3_list1500_bld1250,False,False,3,1500,1250,122287.9,59.2,26873.1,9314.3,30897.5,10347.7,7985.0,5098.7,1579.7,23991.4,24783.5,13625.5,9.1,0.0,305.0,851.3,1119.9,9050.3,0.0,0.0,18.2,3469.0,0.0,159.3,0.0,68.3,0.0
45,bio0_whs0_land4_list500_bld250,False,False,4,500,250,738612.1,26481.6,192705.2,68892.2,214324.8,67166.8,64886.1,30770.0,48501.8,222883.4,236964.1,150349.2,61622.0,28211.5,158643.7,139955.9,95373.8,531298.1,8039.6,14677.1,36856.6,44272.6,50.1,48920.6,29814.0,75006.2,40148.0
46,bio0_whs0_land4_list500_bld500,False,False,4,500,500,451307.0,3478.1,126426.1,46412.2,119706.6,42073.7,41040.3,20599.8,12027.6,118459.3,123908.6,63870.9,8845.4,3405.2,19835.0,23923.1,21897.3,94299.4,473.5,705.6,3801.3,13265.8,0.0,7466.0,3341.5,10243.0,1106.2
47,bio0_whs0_land4_list500_bld750,False,False,4,500,750,281974.1,646.4,76453.8,27587.8,73963.6,26704.7,23945.9,13652.8,4907.5,64772.2,65769.2,33087.2,792.1,218.5,2781.5,5235.3,4871.1,33396.8,0.0,36.4,537.2,7629.9,0.0,1607.0,332.3,1338.4,18.2
48,bio0_whs0_land4_list500_bld1000,False,False,4,500,1000,184378.7,241.3,45993.4,16106.6,47727.9,16630.1,13994.2,8918.2,2918.1,39173.8,39879.5,20854.8,122.9,0.0,851.3,2021.3,2075.9,16971.5,0.0,9.1,86.5,5121.5,0.0,473.5,13.7,295.9,9.1
49,bio0_whs0_land4_list500_bld1250,False,False,4,500,1250,122292.4,59.2,26891.3,9314.3,30970.3,10347.7,8021.4,5117.0,1579.7,24014.2,24824.5,13657.3,9.1,0.0,286.8,860.4,1129.0,9063.9,0.0,0.0,18.2,3478.1,0.0,159.3,0.0,68.3,0.0
50,bio0_whs0_land4_list1000_bld250,False,False,4,1000,250,732475.4,25748.7,191872.1,68691.9,208479.4,66484.0,64471.8,30228.3,44618.6,217138.2,228150.5,141203.3,53395.7,23950.4,138804.2,119178.6,85613.4,426081.9,6510.0,13311.4,30738.1,34994.7,50.1,37662.4,21592.3,56709.9,30178.2
51,bio0_whs0_land4_list1000_bld500,False,False,4,1000,500,450565.0,3437.1,126193.9,46343.9,119096.6,41996.3,40899.2,20463.3,11690.7,117412.2,122260.6,62710.0,8039.6,3022.8,18624.1,22411.7,21246.3,89446.5,437.0,655.6,3723.9,12651.3,0.0,6969.8,2808.9,9469.1,810.3
52,bio0_whs0_land4_list1000_bld750,False,False,4,1000,750,281924.1,646.4,76426.5,27587.8,73904.5,26704.7,23927.7,13639.1,4898.4,64663.0,65637.2,32968.8,773.9,209.4,2763.3,5208.0,4862.0,33273.9,0.0,36.4,537.2,7570.7,0.0,1593.4,318.7,1333.9,18.2
53,bio0_whs0_land4_list1000_bld1000,False,False,4,1000,1000,184378.7,241.3,45993.4,16106.6,47727.9,16630.1,13994.2,8918.2,2918.1,39173.8,39879.5,20850.2,122.9,0.0,851.3,2021.3,2075.9,16962.4,0.0,9.1,86.5,5121.5,0.0,473.5,13.7,295.9,9.1
54,bio0_whs0_land4_list1000_bld1250,False,False,4,1000,1250,122292.4,59.2,26891.3,9314.3,30970.3,10347.7,8021.4,5117.0,1579.7,24014.2,24824.5,13657.3,9.1,0.0,286.8,860.4,1129.0,9063.9,0.0,0.0,18.2,3478.1,0.0,159.3,0.0,68.3,0.0
55,bio0_whs0_land4_list1500_bld250,False,False,4,1500,250,721995.7,24428.4,190123.9,68141.1,199014.9,64890.6,63447.5,29076.5,38782.3,206266.9,213154.8,126835.8,42228.5,18246.2,106568.3,87762.1,72092.6,293282.4,4493.3,11312.8,23568.0,22967.1,50.1,26167.5,11367.5,35736.7,18965.5
