combination_id,filename,biodiversity,world_heritage,landscape_level,listed_buffer_m,building_buffer_m,valid_cells_raw,valid_cells_filtered,total_area_m2,total_area_hectares,total_area_km2,total_capacity_gw
133,bio1_whs0_land1_list1500_bld1000,True,False,1,1500,1000,269232,265237,2791311594.9,279131.2,2791.3,58.7
134,bio1_whs0_land1_list1500_bld1250,True,False,1,1500,1250,122569,120624,1285735386.1,128573.5,1285.7,26.7
135,bio1_whs0_land2_list500_bld250,True,False,2,500,250,1679860,1621412,16726758038.4,1672675.8,16726.8,358.6
136,bio1_whs0_land2_list500_bld500,True,False,2,500,500,815457,796295,8132208304.4,813220.8,8132.2,176.1
137,bio1_whs0_land2_list500_bld750,True,False,2,500,750,384897,378733,3905600113.7,390560.0,3905.6,83.8
138,bio1_whs0_land2_list500_bld1000,True,False,2,500,1000,226170,222806,2321505375.6,232150.5,2321.5,49.3
139,bio1_whs0_land2_list500_bld1250,True,False,2,500,1250,103641,102002,1080160605.9,108016.1,1080.2,22.6
140,bio1_whs0_land2_list1000_bld250,True,False,2,1000,250,1554658,1504677,15442913732.4,1544291.4,15442.9,332.8
141,bio1_whs0_land2_list1000_bld500,True,False,2,1000,500,800495,782396,7981043547.3,798104.4,7981.0,173.0
142,bio1_whs0_land2_list1000_bld750,True,False,2,1000,750,384385,378229,3900181229.3,390018.1,3900.2,83.7
143,bio1_whs0_land2_list1000_bld1000,True,False,2,1000,1000,226164,222800,2321439021.9,232143.9,2321.4,49.3
144,bio1_whs0_land2_list1000_bld1250,True,False,2,1000,1250,103641,102002,1080160605.9,108016.1,1080.2,22.6
145,bio1_whs0_land2_list1500_bld250,True,False,2,1500,250,1380947,1342490,13663893980.8,1366389.4,13663.9,296.9
146,bio1_whs0_land2_list1500_bld500,True,False,2,1500,500,767106,751354,7644243292.8,764424.3,7644.2,166.2
147,bio1_whs0_land2_list1500_bld750,True,False,2,1500,750,380217,374242,3859097238.3,385909.7,3859.1,82.8
148,bio1_whs0_land2_list1500_bld1000,True,False,2,1500,1000,224871,221525,2308942410.9,230894.2,2308.9,49.0
149,bio1_whs0_land2_list1500_bld1250,True,False,2,1500,1250,103535,101893,1079187418.5,107918.7,1079.2,22.5
150,bio1_whs0_land3_list500_bld250,True,False,3,500,250,1465329,1414712,14698558075.6,1469855.8,14698.6,312.9
151,bio1_whs0_land3_list500_bld500,True,False,3,500,500,713463,697490,7172678700.8,717267.9,7172.7,154.3
152,bio1_whs0_land3_list500_bld750,True,False,3,500,750,345282,340221,3529253062.0,352925.3,3529.3,75.2
153,bio1_whs0_land3_list500_bld1000,True,False,3,500,1000,205894,203067,2124534456.8,212453.4,2124.5,44.9
154,bio1_whs0_land3_list500_bld1250,True,False,3,500,1250,95487,94065,999441346.1,99944.1,999.4,20.8
155,bio1_whs0_land3_list1000_bld250,True,False,3,1000,250,1362109,1318596,13640261009.4,1364026.1,13640.3,291.6
156,bio1_whs0_land3_list1000_bld500,True,False,3,1000,500,702207,687052,7058605654.5,705860.6,7058.6,152.0
157,bio1_whs0_land3_list1000_bld750,True,False,3,1000,750,344864,339813,3524774188.1,352477.4,3524.8,75.2
158,bio1_whs0_land3_list1000_bld1000,True,False,3,1000,1000,205888,203061,2124468103.1,212446.8,2124.5,44.9
159,bio1_whs0_land3_list1000_bld1250,True,False,3,1000,1250,95487,94065,999441346.1,99944.1,999.4,20.8
160,bio1_whs0_land3_list1500_bld250,True,False,3,1500,250,1217657,1184100,12161270511.0,1216127.1,12161.3,261.9
161,bio1_whs0_land3_list1500_bld500,True,False,3,1500,500,676776,663537,6801363470.3,680136.3,6801.4,146.8
162,bio1_whs0_land3_list1500_bld750,True,False,3,1500,750,341623,336710,3491210281.6,349121.0,3491.2,74.5
163,bio1_whs0_land3_list1500_bld1000,True,False,3,1500,1000,204824,202011,2113199035.4,211319.9,2113.2,44.7
164,bio1_whs0_land3_list1500_bld1250,True,False,3,1500,1250,95405,93984,998545571.3,99854.6,998.5,20.8
165,bio1_whs0_land4_list500_bld250,True,False,4,500,250,1432766,1385364,14374342903.7,1437434.3,14374.3,306.4
166,bio1_whs0_land4_list500_bld500,True,False,4,500,500,710059,694448,7139103735.4,713910.4,7139.1,153.6
167,bio1_whs0_land4_list500_bld750,True,False,4,500,750,345206,340153,3528501053.5,352850.1,3528.5,75.2
168,bio1_whs0_land4_list500_bld1000,True,False,4,500,1000,205894,203067,2124534456.8,212453.4,2124.5,44.9
169,bio1_whs0_land4_list500_bld1250,True,False,4,500,1250,95487,94065,999441346.1,99944.1,999.4,20.8
170,bio1_whs0_land4_list1000_bld250,True,False,4,1000,250,1337741,1296665,13397992640.6,1339799.3,13398.0,286.8
171,bio1_whs0_land4_list1000_bld500,True,False,4,1000,500,699386,684547,7030969344.0,703096.9,7031.0,151.4
172,bio1_whs0_land4_list1000_bld750,True,False,4,1000,750,344789,339745,3524022179.7,352402.2,3524.0,75.1
173,bio1_whs0_land4_list1000_bld1000,True,False,4,1000,1000,205888,203061,2124468103.1,212446.8,2124.5,44.9
174,bio1_whs0_land4_list1000_bld1250,True,False,4,1000,1250,95487,94065,999441346.1,99944.1,999.4,20.8
175,bio1_whs0_land4_list1500_bld250,True,False,4,1500,250,1202988,1170912,12015624168.8,1201562.4,12015.6,259.0
176,bio1_whs0_land4_list1500_bld500,True,False,4,1500,500,674976,661958,6783967745.5,678396.8,6784.0,146.4
177,bio1_whs0_land4_list1500_bld750,True,False,4,1500,750,341559,336650,3490546744.8,349054.7,3490.5,74.5
178,bio1_whs0_land4_list1500_bld1000,True,False,4,1500,1000,204824,202011,2113199035.4,211319.9,2113.2,44.7
179,bio1_whs0_land4_list1500_bld1250,True,False,4,1500,1250,95405,93984,998545571.3,99854.6,998.5,20.8
180,bio1_whs1_land1_list500_bld250,True,True,1,500,250,1875545,1812839,18837026452.5,1883702.6,18837.0,401.0
181,bio1_whs1_land1_list500_bld500,True,True,1,500,500,937251,916104,9453597738.1,945359.8,9453.6,202.6
182,bio1_whs1_land1_list500_bld750,True,True,1,500,750,444942,437951,4558863217.6,455886.3,4558.9,96.9
